X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
546,54,35,MR6,0,Vis,RT6,726.0866667,Vis,2,3,4
55,55,38,MR0,0.03,Vest,RT0,764.4965517,Vest,3,3,5
137,55,38,MR1,0,Comb,RT1,509.8733333,Comb,3,3,5
219,55,38,MR2,0,Comb,RT2,467.7666667,Comb,3,3,5
301,55,38,MR3,0,Comb,RT3,430.61,Comb,3,3,5
383,55,38,MR4,0,Comb,RT4,472.4133333,Comb,3,3,5
465,55,38,MR5,0,Comb,RT5,450.4766667,Comb,3,3,5
547,55,38,MR6,0,Vis,RT6,521.77,Vis,3,3,5
56,56,57,MR0,0.43,Vest,RT0,1511.282353,Vest,1,2,4
138,56,57,MR1,0.03,Comb,RT1,717.7931034,Comb,1,2,4
220,56,57,MR2,0,Comb,RT2,674.5566667,Comb,1,2,4
302,56,57,MR3,0,Comb,RT3,630.97,Comb,1,2,4
384,56,57,MR4,0,Comb,RT4,660.7966667,Comb,1,2,4
466,56,57,MR5,0,Comb,RT5,642.6633333,Comb,1,2,4
548,56,57,MR6,0,Vis,RT6,710.5333333,Vis,1,2,4
57,57,34,MR0,0.1,Vest,RT0,926.737037,Vest,3,4,4
139,57,34,MR1,0.1,Comb,RT1,598.6888889,Comb,3,4,4
221,57,34,MR2,0.03,Comb,RT2,549.5931034,Comb,3,4,4
303,57,34,MR3,0.03,Comb,RT3,517.6482759,Comb,3,4,4
385,57,34,MR4,0.03,Comb,RT4,554.0655172,Comb,3,4,4
467,57,34,MR5,0.03,Comb,RT5,585.4448276,Comb,3,4,4
549,57,34,MR6,0,Vis,RT6,577.5833333,Vis,3,4,4
58,58,39,MR0,0.4,Vest,RT0,676.15,Vest,3,5,3
140,58,39,MR1,0,Comb,RT1,532.9233333,Comb,3,5,3
222,58,39,MR2,0,Comb,RT2,489.26,Comb,3,5,3
304,58,39,MR3,0.03,Comb,RT3,478.3517241,Comb,3,5,3
386,58,39,MR4,0,Comb,RT4,492.6133333,Comb,3,5,3
468,58,39,MR5,0,Comb,RT5,504.34,Comb,3,5,3
550,58,39,MR6,0,Vis,RT6,565.2733333,Vis,3,5,3
59,59,56,MR0,0.57,Vest,RT0,1775.007692,Vest,2,5,4
141,59,56,MR1,0,Comb,RT1,799.8233333,Comb,2,5,4
223,59,56,MR2,0,Comb,RT2,742.2333333,Comb,2,5,4
305,59,56,MR3,0,Comb,RT3,741.8766667,Comb,2,5,4
387,59,56,MR4,0,Comb,RT4,722.6866667,Comb,2,5,4
469,59,56,MR5,0,Comb,RT5,765.7266667,Comb,2,5,4
551,59,56,MR6,0,Vis,RT6,790.81,Vis,2,5,4
60,60,54,MR0,0.2,Vest,RT0,1018.241667,Vest,1,4,4
142,60,54,MR1,0,Comb,RT1,815.9433333,Comb,1,4,4
224,60,54,MR2,0,Comb,RT2,695.33,Comb,1,4,4
306,60,54,MR3,0,Comb,RT3,722.3466667,Comb,1,4,4
388,60,54,MR4,0,Comb,RT4,702.95,Comb,1,4,4
470,60,54,MR5,0,Comb,RT5,757.6033333,Comb,1,4,4
552,60,54,MR6,0,Vis,RT6,824.63,Vis,1,4,4
61,61,58,MR0,0.1,Vest,RT0,1100.296296,Vest,1,3,4
143,61,58,MR1,0,Comb,RT1,821.6966667,Comb,1,3,4
225,61,58,MR2,0,Comb,RT2,879.48,Comb,1,3,4
307,61,58,MR3,0,Comb,RT3,818.8533333,Comb,1,3,4
389,61,58,MR4,0,Comb,RT4,932.64,Comb,1,3,4
471,61,58,MR5,0,Comb,RT5,992.3,Comb,1,3,4
553,61,58,MR6,0,Vis,RT6,1044.746667,Vis,1,3,4
62,62,43,MR0,0.83,Vest,RT0,729.2,Vest,1,3,3
144,62,43,MR1,0,Comb,RT1,634.74,Comb,1,3,3
226,62,43,MR2,0,Comb,RT2,544.5866667,Comb,1,3,3
308,62,43,MR3,0,Comb,RT3,498.0433333,Comb,1,3,3
390,62,43,MR4,0.03,Comb,RT4,522.3103448,Comb,1,3,3
472,62,43,MR5,0,Comb,RT5,520.35,Comb,1,3,3
554,62,43,MR6,0,Vis,RT6,549.4366667,Vis,1,3,3
63,63,71,MR0,0.9,Vest,RT0,1005.866667,Vest,1,4,2
145,63,71,MR1,0,Comb,RT1,730.6633333,Comb,1,4,2
227,63,71,MR2,0,Comb,RT2,681.5033333,Comb,1,4,2
309,63,71,MR3,0,Comb,RT3,631.9166667,Comb,1,4,2
391,63,71,MR4,0.03,Comb,RT4,654.2413793,Comb,1,4,2
473,63,71,MR5,0,Comb,RT5,661.28,Comb,1,4,2
555,63,71,MR6,0.03,Vis,RT6,781.3586207,Vis,1,4,2
64,64,69,MR0,0.9,Vest,RT0,1186.666667,Vest,2,3,3
146,64,69,MR1,0,Comb,RT1,743.6766667,Comb,2,3,3
228,64,69,MR2,0.03,Comb,RT2,723.8275862,Comb,2,3,3
310,64,69,MR3,0,Comb,RT3,698.3966667,Comb,2,3,3
392,64,69,MR4,0.03,Comb,RT4,691.3896552,Comb,2,3,3
474,64,69,MR5,0,Comb,RT5,673.1233333,Comb,2,3,3
556,64,69,MR6,0.1,Vis,RT6,808.3037037,Vis,2,3,3
65,65,52,MR0,0.8,Vest,RT0,1573.85,Vest,1,3,2
147,65,52,MR1,0.1,Comb,RT1,939.0259259,Comb,1,3,2
229,65,52,MR2,0,Comb,RT2,984.72,Comb,1,3,2
311,65,52,MR3,0.03,Comb,RT3,894.7551724,Comb,1,3,2
393,65,52,MR4,0.07,Comb,RT4,958.6535714,Comb,1,3,2
475,65,52,MR5,0.07,Comb,RT5,906.3107143,Comb,1,3,2
557,65,52,MR6,0,Vis,RT6,1088.81,Vis,1,3,2
66,66,40,MR0,0.37,Vest,RT0,1203.326316,Vest,1,1,3
148,66,40,MR1,0,Comb,RT1,954.6033333,Comb,1,1,3
230,66,40,MR2,0,Comb,RT2,897.1133333,Comb,1,1,3
312,66,40,MR3,0,Comb,RT3,888.4,Comb,1,1,3
394,66,40,MR4,0,Comb,RT4,844.2933333,Comb,1,1,3
476,66,40,MR5,0,Comb,RT5,912.3133333,Comb,1,1,3
558,66,40,MR6,0,Vis,RT6,976.8366667,Vis,1,1,3
67,67,73,MR0,0.83,Vest,RT0,1334.84,Vest,1,4,4
149,67,73,MR1,0,Comb,RT1,853.0233333,Comb,1,4,4
231,67,73,MR2,0,Comb,RT2,714.1733333,Comb,1,4,4
313,67,73,MR3,0,Comb,RT3,746.8666667,Comb,1,4,4
395,67,73,MR4,0,Comb,RT4,659.49,Comb,1,4,4
477,67,73,MR5,0,Comb,RT5,770.9033333,Comb,1,4,4
559,67,73,MR6,0.03,Vis,RT6,798.562069,Vis,1,4,4
68,68,62,MR0,0.43,Vest,RT0,1219.570588,Vest,2,4,3
150,68,62,MR1,0,Comb,RT1,771.5566667,Comb,2,4,3
232,68,62,MR2,0,Comb,RT2,746.44,Comb,2,4,3
314,68,62,MR3,0,Comb,RT3,661.33,Comb,2,4,3
396,68,62,MR4,0,Comb,RT4,659.4466667,Comb,2,4,3
478,68,62,MR5,0,Comb,RT5,719.7866667,Comb,2,4,3
560,68,62,MR6,0,Vis,RT6,743.2366667,Vis,2,4,3
69,69,45,MR0,0.23,Vest,RT0,1235.473913,Vest,1,3,3
151,69,45,MR1,0,Comb,RT1,783.7,Comb,1,3,3
233,69,45,MR2,0,Comb,RT2,781.7166667,Comb,1,3,3
315,69,45,MR3,0,Comb,RT3,773.1533333,Comb,1,3,3
397,69,45,MR4,0,Comb,RT4,776.25,Comb,1,3,3
479,69,45,MR5,0,Comb,RT5,780.3533333,Comb,1,3,3
561,69,45,MR6,0,Vis,RT6,859.5666667,Vis,1,3,3
70,70,41,MR0,0.17,Vest,RT0,1251.728,Vest,2,5,5
152,70,41,MR1,0,Comb,RT1,846.8766667,Comb,2,5,5
234,70,41,MR2,0,Comb,RT2,785.2233333,Comb,2,5,5
316,70,41,MR3,0,Comb,RT3,775.84,Comb,2,5,5
398,70,41,MR4,0,Comb,RT4,779.25,Comb,2,5,5
480,70,41,MR5,0,Comb,RT5,811.5466667,Comb,2,5,5
562,70,41,MR6,0,Vis,RT6,864.5733333,Vis,2,5,5
71,71,57,MR0,1,Vest,RT0,,Vest,1,3,2
153,71,57,MR1,0.03,Comb,RT1,1094.424138,Comb,1,3,2
235,71,57,MR2,0,Comb,RT2,1076.203333,Comb,1,3,2
317,71,57,MR3,0.03,Comb,RT3,965.5551724,Comb,1,3,2
399,71,57,MR4,0,Comb,RT4,1011.566667,Comb,1,3,2
481,71,57,MR5,0,Comb,RT5,1107.433333,Comb,1,3,2
563,71,57,MR6,0.03,Vis,RT6,1091.682759,Vis,1,3,2
72,72,66,MR0,0.97,Vest,RT0,1620.4,Vest,1,3,4
154,72,66,MR1,0,Comb,RT1,1021.396667,Comb,1,3,4
236,72,66,MR2,0.03,Comb,RT2,961,Comb,1,3,4
318,72,66,MR3,0,Comb,RT3,923.5566667,Comb,1,3,4
400,72,66,MR4,0,Comb,RT4,851.36,Comb,1,3,4
482,72,66,MR5,0.03,Comb,RT5,933.1896552,Comb,1,3,4
564,72,66,MR6,0.03,Vis,RT6,929.8448276,Vis,1,3,4
73,73,39,MR0,0.57,Vest,RT0,1021.1,Vest,2,5,5
155,73,39,MR1,0,Comb,RT1,711.25,Comb,2,5,5
237,73,39,MR2,0,Comb,RT2,723.58,Comb,2,5,5
319,73,39,MR3,0,Comb,RT3,639.8,Comb,2,5,5
401,73,39,MR4,0,Comb,RT4,646.7966667,Comb,2,5,5
483,73,39,MR5,0,Comb,RT5,722.3166667,Comb,2,5,5
565,73,39,MR6,0,Vis,RT6,746.0866667,Vis,2,5,5
74,74,18,MR0,0.2,Vest,RT0,1702.520833,Vest,1,2,4
156,74,18,MR1,0,Comb,RT1,985.7933333,Comb,1,2,4
238,74,18,MR2,0,Comb,RT2,1054.803333,Comb,1,2,4
320,74,18,MR3,0,Comb,RT3,1038.693333,Comb,1,2,4
402,74,18,MR4,0,Comb,RT4,1018.586667,Comb,1,2,4
484,74,18,MR5,0,Comb,RT5,1035.14,Comb,1,2,4
566,74,18,MR6,0,Vis,RT6,1123.643333,Vis,1,2,4
75,75,19,MR0,0.03,Vest,RT0,946.5068966,Vest,3,1,5
157,75,19,MR1,0,Comb,RT1,584.47,Comb,3,1,5
239,75,19,MR2,0,Comb,RT2,534.9933333,Comb,3,1,5
321,75,19,MR3,0,Comb,RT3,513.7733333,Comb,3,1,5
403,75,19,MR4,0,Comb,RT4,514.6833333,Comb,3,1,5
485,75,19,MR5,0,Comb,RT5,544.6933333,Comb,3,1,5
567,75,19,MR6,0,Vis,RT6,586.94,Vis,3,1,5
76,76,18,MR0,0.07,Vest,RT0,1097.896429,Vest,3,0,5
158,76,18,MR1,0,Comb,RT1,620.14,Comb,3,0,5
240,76,18,MR2,0,Comb,RT2,623.6633333,Comb,3,0,5
322,76,18,MR3,0,Comb,RT3,587.4733333,Comb,3,0,5
404,76,18,MR4,0,Comb,RT4,602.9666667,Comb,3,0,5
486,76,18,MR5,0,Comb,RT5,623.6733333,Comb,3,0,5
568,76,18,MR6,0,Vis,RT6,688.6666667,Vis,3,0,5
77,77,18,MR0,0.2,Vest,RT0,1039.558333,Vest,1,2,3
159,77,18,MR1,0,Comb,RT1,815.08,Comb,1,2,3
241,77,18,MR2,0,Comb,RT2,776.4766667,Comb,1,2,3
323,77,18,MR3,0,Comb,RT3,741.59,Comb,1,2,3
405,77,18,MR4,0.03,Comb,RT4,739.1206897,Comb,1,2,3
487,77,18,MR5,0,Comb,RT5,814.02,Comb,1,2,3
569,77,18,MR6,0,Vis,RT6,830.9833333,Vis,1,2,3
78,78,17,MR0,0,Vest,RT0,991.89,Vest,1,2,3
160,78,17,MR1,0,Comb,RT1,670.0566667,Comb,1,2,3
242,78,17,MR2,0,Comb,RT2,696.4466667,Comb,1,2,3
324,78,17,MR3,0,Comb,RT3,629.7966667,Comb,1,2,3
406,78,17,MR4,0,Comb,RT4,663.9266667,Comb,1,2,3
488,78,17,MR5,0,Comb,RT5,657.13,Comb,1,2,3
570,78,17,MR6,0,Vis,RT6,724.97,Vis,1,2,3
79,79,18,MR0,0.4,Vest,RT0,1445.95,Vest,1,4,4
161,79,18,MR1,0.07,Comb,RT1,649.4071429,Comb,1,4,4
243,79,18,MR2,0,Comb,RT2,611.8966667,Comb,1,4,4
325,79,18,MR3,0.03,Comb,RT3,655.8689655,Comb,1,4,4
407,79,18,MR4,0,Comb,RT4,569.1233333,Comb,1,4,4
489,79,18,MR5,0,Comb,RT5,631.21,Comb,1,4,4
571,79,18,MR6,0.07,Vis,RT6,623.1,Vis,1,4,4
80,80,25,MR0,0.23,Vest,RT0,1182.586957,Vest,1,3,5
162,80,25,MR1,0,Comb,RT1,962.0933333,Comb,1,3,5
244,80,25,MR2,0,Comb,RT2,908.77,Comb,1,3,5
326,80,25,MR3,0,Comb,RT3,872.0033333,Comb,1,3,5
408,80,25,MR4,0,Comb,RT4,896.13,Comb,1,3,5
490,80,25,MR5,0,Comb,RT5,902.6633333,Comb,1,3,5
572,80,25,MR6,0,Vis,RT6,993.4066667,Vis,1,3,5
81,81,21,MR0,0.27,Vest,RT0,1156.227273,Vest,4,1,5
163,81,21,MR1,0,Comb,RT1,843.16,Comb,4,1,5
245,81,21,MR2,0,Comb,RT2,814.56,Comb,4,1,5
327,81,21,MR3,0,Comb,RT3,772.4833333,Comb,4,1,5
409,81,21,MR4,0,Comb,RT4,805.2,Comb,4,1,5
491,81,21,MR5,0,Comb,RT5,755.69,Comb,4,1,5
573,81,21,MR6,0,Vis,RT6,849.8933333,Vis,4,1,5
82,82,18,MR0,0.3,Vest,RT0,1140.461905,Vest,2,2,5
164,82,18,MR1,0,Comb,RT1,624.83,Comb,2,2,5
246,82,18,MR2,0,Comb,RT2,658.4933333,Comb,2,2,5
328,82,18,MR3,0,Comb,RT3,529.14,Comb,2,2,5
410,82,18,MR4,0,Comb,RT4,545.2266667,Comb,2,2,5
492,82,18,MR5,0,Comb,RT5,597,Comb,2,2,5
574,82,18,MR6,0,Vis,RT6,622.1233333,Vis,2,2,5
