X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
257,11,19,MR3,0.17,Comb,RT3,624.6,Comb,4,3,5
339,11,19,MR4,0,Comb,RT4,640.9833333,Comb,4,3,5
421,11,19,MR5,0.13,Comb,RT5,636.8576923,Comb,4,3,5
503,11,19,MR6,0.1,Vis,RT6,690.2555556,Vis,4,3,5
12,12,18,MR0,1,Vest,RT0,,Vest,1,2,3
94,12,18,MR1,0.03,Comb,RT1,636.4068966,Comb,1,2,3
176,12,18,MR2,0.03,Comb,RT2,605.1655172,Comb,1,2,3
258,12,18,MR3,0.23,Comb,RT3,562.7956522,Comb,1,2,3
340,12,18,MR4,0.03,Comb,RT4,580.9344828,Comb,1,2,3
422,12,18,MR5,0.1,Comb,RT5,581.9518519,Comb,1,2,3
504,12,18,MR6,0.07,Vis,RT6,633.1821429,Vis,1,2,3
13,13,61,MR0,0.07,Vest,RT0,793.4214286,Vest,1,2,3
95,13,61,MR1,0,Comb,RT1,672.54,Comb,1,2,3
177,13,61,MR2,0.1,Comb,RT2,766.6111111,Comb,1,2,3
259,13,61,MR3,0.07,Comb,RT3,568.4571429,Comb,1,2,3
341,13,61,MR4,0,Comb,RT4,667.02,Comb,1,2,3
423,13,61,MR5,0.03,Comb,RT5,692.4896552,Comb,1,2,3
505,13,61,MR6,0.1,Vis,RT6,757.2444444,Vis,1,2,3
14,14,63,MR0,0.8,Vest,RT0,854.7,Vest,1,2,3
96,14,63,MR1,0,Comb,RT1,645.19,Comb,1,2,3
178,14,63,MR2,0,Comb,RT2,604.13,Comb,1,2,3
260,14,63,MR3,0,Comb,RT3,597.94,Comb,1,2,3
342,14,63,MR4,0,Comb,RT4,569.2666667,Comb,1,2,3
424,14,63,MR5,0,Comb,RT5,602.0333333,Comb,1,2,3
506,14,63,MR6,0,Vis,RT6,673.6733333,Vis,1,2,3
15,15,18,MR0,0.6,Vest,RT0,1521.866667,Vest,2,1,5
97,15,18,MR1,0.03,Comb,RT1,775.4586207,Comb,2,1,5
179,15,18,MR2,0.07,Comb,RT2,772.4857143,Comb,2,1,5
261,15,18,MR3,0.03,Comb,RT3,687.2689655,Comb,2,1,5
343,15,18,MR4,0.07,Comb,RT4,740.6857143,Comb,2,1,5
425,15,18,MR5,0.07,Comb,RT5,751.0428571,Comb,2,1,5
507,15,18,MR6,0.13,Vis,RT6,790.7230769,Vis,2,1,5
16,16,19,MR0,0.57,Vest,RT0,1308.692308,Vest,4,1,5
98,16,19,MR1,0,Comb,RT1,940.1866667,Comb,4,1,5
180,16,19,MR2,0,Comb,RT2,851.3766667,Comb,4,1,5
262,16,19,MR3,0,Comb,RT3,881.7033333,Comb,4,1,5
344,16,19,MR4,0,Comb,RT4,947.7166667,Comb,4,1,5
426,16,19,MR5,0,Comb,RT5,927.06,Comb,4,1,5
508,16,19,MR6,0.07,Vis,RT6,955.9178571,Vis,4,1,5
17,17,18,MR0,0.17,Vest,RT0,939.836,Vest,1,1,3
99,17,18,MR1,0,Comb,RT1,610.1166667,Comb,1,1,3
181,17,18,MR2,0,Comb,RT2,587.3966667,Comb,1,1,3
263,17,18,MR3,0,Comb,RT3,468.3366667,Comb,1,1,3
345,17,18,MR4,0,Comb,RT4,543.1566667,Comb,1,1,3
427,17,18,MR5,0,Comb,RT5,486.8266667,Comb,1,1,3
509,17,18,MR6,0,Vis,RT6,627.2266667,Vis,1,1,3
18,18,18,MR0,0.13,Vest,RT0,581.5076923,Vest,2,1,2
100,18,18,MR1,0,Comb,RT1,549.6833333,Comb,2,1,2
182,18,18,MR2,0,Comb,RT2,457.3133333,Comb,2,1,2
264,18,18,MR3,0,Comb,RT3,440.6733333,Comb,2,1,2
346,18,18,MR4,0.03,Comb,RT4,418.3344828,Comb,2,1,2
428,18,18,MR5,0,Comb,RT5,479.9666667,Comb,2,1,2
510,18,18,MR6,0,Vis,RT6,513.96,Vis,2,1,2
19,19,21,MR0,1,Vest,RT0,,Vest,1,3,5
101,19,21,MR1,0.03,Comb,RT1,680.4,Comb,1,3,5
183,19,21,MR2,0,Comb,RT2,633.44,Comb,1,3,5
265,19,21,MR3,0,Comb,RT3,572.8766667,Comb,1,3,5
347,19,21,MR4,0,Comb,RT4,596.2233333,Comb,1,3,5
429,19,21,MR5,0,Comb,RT5,631.4166667,Comb,1,3,5
511,19,21,MR6,0,Vis,RT6,716.0933333,Vis,1,3,5
20,20,21,MR0,0.07,Vest,RT0,1095.6,Vest,4,1,4
102,20,21,MR1,0.07,Comb,RT1,913.4107143,Comb,4,1,4
184,20,21,MR2,0,Comb,RT2,970.5466667,Comb,4,1,4
