sID,age,gender,cond,soa,rt,mr,rmv,mre,gameHr,driveHr,compHr,compensation
112,19,0,Ves,-Inf,1004.02,0,NaN,NaN,4,3,5,Credit
112,19,0,Com,-100,698.28,0,67.2200000000001,12.1682473396895,4,3,5,Credit
112,19,0,Com,-50,651.956666666667,0,78.4666666666668,12.4913872558231,4,3,5,Credit
112,19,0,Com,0,617.346666666667,0,66.1933333333331,11.1756975818442,4,3,5,Credit
112,19,0,Com,50,640.983333333333,0,45.88,7.77483621574439,4,3,5,Credit
112,19,0,Com,100,642.11,0,88.2200000000001,7.61273056890449,4,3,5,Credit
112,19,0,Vis,Inf,695.02,0,NaN,NaN,4,3,5,Credit
113,18,1,Ves,-Inf,NaN,100,NaN,NaN,1,2,3,Credit
113,18,1,Com,-100,640.98,0,72.3200000000004,17.6551608870128,1,2,3,Credit
113,18,1,Com,-50,601.283333333333,0,86.2966666666674,17.4525615230744,1,2,3,Credit
113,18,1,Com,0,558.26,0,59.5333333333334,17.7104609559049,1,2,3,Credit
113,18,1,Com,50,574.63,0,69.4233333333321,15.2974638682543,1,2,3,Credit
113,18,1,Com,100,591.923333333334,0,58.2733333333335,12.748364114491,1,2,3,Credit
113,18,1,Vis,Inf,633.182142857143,6.66666666666667,NaN,NaN,1,2,3,Credit
114,61,0,Ves,-Inf,791.868965517242,3.33333333333333,NaN,NaN,1,2,3,Money
114,61,0,Com,-100,672.54,0,44.2366666666668,17.9003056932095,1,2,3,Money
114,61,0,Com,-50,745.28,0,31.5833333333331,5.65239957970956,1,2,3,Money
114,61,0,Com,0,562.28275862069,3.33333333333333,51.3400000000004,21.3882638543129,1,2,3,Money
114,61,0,Com,50,667.02,0,51.6000000000004,9.85363480329219,1,2,3,Money
114,61,0,Com,100,700.093333333333,0,21.9700000000002,5.38384261574294,1,2,3,Money
114,61,0,Vis,Inf,739.93,0,NaN,NaN,1,2,3,Money
115,63,1,Ves,-Inf,854.7,80,NaN,NaN,1,2,3,Money
115,63,1,Com,-100,645.19,0,97.9366666666665,16.6069228184161,1,2,3,Money
115,63,1,Com,-50,604.13,0,92.4999999999996,16.5189634365414,1,2,3,Money
115,63,1,Com,0,597.94,0,62.3899999999998,11.2418481756737,1,2,3,Money
115,63,1,Com,50,569.266666666667,0,61.0033333333332,15.4981148133121,1,2,3,Money
115,63,1,Com,100,602.033333333333,0,60.2233333333333,10.634234198573,1,2,3,Money
115,63,1,Vis,Inf,673.673333333333,0,NaN,NaN,1,2,3,Money
116,18,1,Ves,-Inf,1521.86666666667,60,NaN,NaN,2,1,5,Credit
116,18,1,Com,-100,775.458620689655,3.33333333333333,138.693333333337,20.7605549920792,2,1,5,Credit
116,18,1,Com,-50,772.485714285714,6.66666666666667,87.976666666665,13.9976439909157,2,1,5,Credit
116,18,1,Com,0,687.268965517241,3.33333333333333,130.490000000002,22.0748459272654,2,1,5,Credit
116,18,1,Com,50,740.685714285714,6.66666666666667,58.8466666666661,13.0189048594514,2,1,5,Credit
116,18,1,Com,100,751.042857142857,6.66666666666667,70.6966666666651,11.8026324096578,2,1,5,Credit
116,18,1,Vis,Inf,790.723076923077,13.3333333333333,NaN,NaN,2,1,5,Credit
119,19,0,Ves,-Inf,1308.69230769231,56.6666666666667,NaN,NaN,4,1,5,Credit
119,19,0,Com,-100,940.186666666667,0,85.2200000000001,16.3682096793896,4,1,5,Credit
119,19,0,Com,-50,851.376666666667,0,115.903333333334,20.7430193313868,4,1,5,Credit
119,19,0,Com,0,881.703333333333,0,65.5533333333324,13.9127797475459,4,1,5,Credit
119,19,0,Com,50,947.716666666667,0,20.2466666666666,7.46740957435988,4,1,5,Credit
119,19,0,Com,100,927.06,0,37.356666666667,9.484272781956,4,1,5,Credit
119,19,0,Vis,Inf,955.917857142857,6.66666666666667,NaN,NaN,4,1,5,Credit
120,18,1,Ves,-Inf,939.836,16.6666666666667,NaN,NaN,1,1,3,Credit
120,18,1,Com,-100,610.116666666667,0,103.663333333334,16.1036448975102,1,1,3,Credit
120,18,1,Com,-50,587.396666666667,0,68.0366666666671,13.264392030241,1,1,3,Credit
120,18,1,Com,0,468.336666666667,0,126.403333333334,25.3321499936227,1,1,3,Credit
120,18,1,Com,50,543.156666666667,0,103.420000000001,13.4034479826538,1,1,3,Credit
120,18,1,Com,100,486.826666666667,0,92.3366666666659,22.3842523702224,1,1,3,Credit
120,18,1,Vis,Inf,627.226666666667,0,NaN,NaN,1,1,3,Credit
123,18,0,Ves,-Inf,581.507692307692,13.3333333333333,NaN,NaN,2,1,2,Credit
123,18,0,Com,-100,549.683333333333,0,63.8399999999997,10.469194518644,2,1,2,Credit
123,18,0,Com,-50,457.313333333333,0,40.9466666666666,18.9103246093103,2,1,2,Credit
123,18,0,Com,0,440.673333333333,0,35.4299999999999,14.2592160219991,2,1,2,Credit
123,18,0,Com,50,418.334482758621,3.33333333333333,108.740000000001,15.7989318720723,2,1,2,Credit
123,18,0,Com,100,479.966666666667,0,13.8366666666667,6.61400368381458,2,1,2,Credit
123,18,0,Vis,Inf,513.96,0,NaN,NaN,2,1,2,Credit
124,21,0,Ves,-Inf,NaN,100,NaN,NaN,1,3,5,Credit
124,21,0,Com,-100,680.4,3.33333333333333,119.23,13.7522584468871,1,3,5,Credit
124,21,0,Com,-50,633.44,0,120.88,17.3155577214265,1,3,5,Credit
124,21,0,Com,0,572.876666666667,0,95.5099999999996,19.999720706798,1,3,5,Credit
124,21,0,Com,50,596.223333333333,0,113.456666666667,16.7394380620776,1,3,5,Credit
124,21,0,Com,100,631.416666666667,0,79.1833333333336,11.8248086841566,1,3,5,Credit
124,21,0,Vis,Inf,716.093333333333,0,NaN,NaN,1,3,5,Credit
125,21,0,Ves,-Inf,1095.6,6.66666666666667,NaN,NaN,4,1,4,Credit
125,21,0,Com,-100,913.410714285714,6.66666666666667,109.396666666667,16.6291790538778,4,1,4,Credit
125,21,0,Com,-50,970.546666666667,0,68.1233333333329,17.3198653198653,4,1,4,Credit
125,21,0,Com,0,868.086666666667,0,71.9233333333323,26.0483550363068,4,1,4,Credit
125,21,0,Com,50,808.753333333333,0,154.706666666667,33.5511720770768,4,1,4,Credit
125,21,0,Com,100,917.49,0,96.4166666666672,24.6171451563276,4,1,4,Credit
125,21,0,Vis,Inf,1095.3962962963,10,NaN,NaN,4,1,4,Credit
126,20,1,Ves,-Inf,922.826923076923,13.3333333333333,NaN,NaN,1,3,5,Declined
126,20,1,Com,-100,707.6,0,131.36,19.6669820245979,1,3,5,Declined
126,20,1,Com,-50,670.063333333333,0,111.923333333334,19.3504513540622,1,3,5,Declined
126,20,1,Com,0,630.66,0,119.756666666666,19.2324439701174,1,3,5,Declined
126,20,1,Com,50,663.27,0,125.676666666666,15.05613660619,1,3,5,Declined
126,20,1,Com,100,704.64,0,70.1733333333331,9.7579509071505,1,3,5,Declined
